antecedents,consequents
"['CHARIS RELIANCE', 'CHARIS CLASSIC']","['CHARIS IMPERIAL', 'WHOLESOME FARMS CLASSIC']"
"['WHOLESOME FARMS CLASSIC', 'CHARIS CLASSIC']","['CHARIS IMPERIAL', 'CHARIS RELIANCE']"
['CHARIS RELIANCE'],"['CHARIS IMPERIAL', 'WHOLESOME FARMS CLASSIC', 'CHARIS CLASSIC']"
"['CHARIS IMPERIAL', 'PACKER', 'WHOLESOME FARMS CLASSIC']",['CHARIS CLASSIC']
"['CHARIS IMPERIAL', 'PACKER', 'CHARIS CLASSIC']",['WHOLESOME FARMS CLASSIC']
"['CHARIS IMPERIAL', 'WHOLESOME FARMS CLASSIC', 'CHARIS CLASSIC']",['PACKER']
"['PACKER', 'WHOLESOME FARMS CLASSIC', 'CHARIS CLASSIC']",['CHARIS IMPERIAL']
"['CHARIS IMPERIAL', 'PACKER']","['WHOLESOME FARMS CLASSIC', 'CHARIS CLASSIC']"
"['CHARIS IMPERIAL', 'WHOLESOME FARMS CLASSIC']","['PACKER', 'CHARIS CLASSIC']"
"['PACKER', 'WHOLESOME FARMS CLASSIC']","['CHARIS IMPERIAL', 'CHARIS CLASSIC']"
"['PACKER', 'CHARIS CLASSIC']","['CHARIS IMPERIAL', 'WHOLESOME FARMS CLASSIC']"
['PACKER'],"['CHARIS IMPERIAL', 'WHOLESOME FARMS CLASSIC', 'CHARIS CLASSIC']"
